day,high,low
2020-11-27,42.74452027669384,26.67528561031259
2020-11-28,37.78381812840647,22.93266732764148
2020-11-29,40.12712584472167,23.145738306488273
2020-11-30,36.47514962022092,21.669180155869466
2020-12-01,40.01829005094521,21.753036361443787
2020-12-02,44.58156531070378,25.61100831312685
2020-12-03,40.5907851920856,23.381183960090258
2020-12-04,39.468866492978314,21.828879915499968
2020-12-05,42.10313668375139,20.03354092332701
2020-12-06,40.346824531865344,22.629114997650657
2020-12-07,45.300802408070716,25.050325315993465
2020-12-08,42.61155670094217,23.469617223311037
2020-12-09,39.15470177912902,21.879014034182834
2020-12-10,41.8474190937652,22.661243295739187
2020-12-11,39.856638238767,23.220868716412294
2020-12-12,37.838650758060396,18.94252860820509
2020-12-13,36.02309903669823,25.04878743198154
2020-12-14,34.778006108493216,25.651523946273393
2020-12-15,37.12827830829872,25.459129044400605
2020-12-16,44.57421931797637,30.861752378851712
2020-12-17,44.28575278197696,36.057045973742525
2020-12-18,43.54117460080956,32.36238757910992
2020-12-19,48.79541891769886,34.26330419283695
2020-12-20,45.72616378811572,39.93029080985519
2020-12-21,57.16639725019353,43.1729136487534
2020-12-22,49.82380207828113,28.489322294450254
2020-12-23,37.46152232213708,22.499522979077145
2020-12-24,41.7285127006397,23.118099552958597
2020-12-25,39.39530177805018,22.44730771290801
2020-12-26,41.360372284334375,28.63966968892828
2020-12-27,31.56726052622071,22.83012629130553
2020-12-28,31.385938109396612,19.888562736486286
2020-12-29,27.95778675926501,19.684036496345026
2020-12-30,35.42460294283391,23.087301234604798
2020-12-31,38.542876243922166,28.734517601693984
2021-01-01,42.93155461743686,30.579226911425774
2021-01-02,44.58134316179059,33.57518780149394
2021-01-03,49.11693989814947,36.7432441850118
2021-01-04,48.01723630601705,37.76341601466643
2021-01-05,44.63260272244376,33.55257270056504
2021-01-06,44.39070110539129,29.472415441046607
2021-01-07,42.83218395086505,32.16741932012029
2021-01-08,39.813049564996945,28.281032432302617
2021-01-09,40.29123342107034,29.161445090625268
2021-01-10,38.808388286916646,28.134511799610475
2021-01-11,40.735322246393174,24.325953578604544
2021-01-12,43.22032609133308,29.60275920037909
2021-01-13,50.36867934930424,32.052992858114514
2021-01-14,46.45583749851841,29.580291235347698
2021-01-15,38.22508589531765,27.24265172709559
2021-01-16,42.05852641925718,25.528274505131677
2021-01-17,42.13985152418686,28.93298100452407
2021-01-18,44.57884402690167,26.135499557055205
2021-01-19,42.77901648008403,23.63352571385856
2021-01-20,43.1333773908765,23.087750577923686
2021-01-21,41.14752493533222,29.533268514967123
2021-01-22,37.391208410497526,31.359508705555434
2021-01-23,40.20946685628282,25.93607263779722
2021-01-24,39.014882145164336,23.829876218285726
2021-01-25,35.34275669877654,26.114044760277196
2021-01-26,37.87782797237751,23.528537768210967
2021-01-27,45.213809977982905,32.12891219433185
2021-01-28,50.24692346912818,40.45719171170084
2021-01-29,42.41401842069335,34.87903895919435
2021-01-30,48.58658638799429,32.72177354006892
2021-01-31,50.86845688794151,34.516238367086935
2021-02-01,54.43553672220354,36.00315557641738
2021-02-02,58.13047810536341,37.00641662621542
2021-02-03,40.24436247689247,31.748311872853286
2021-02-04,41.54130677788194,26.19286367051457
2021-02-05,49.328649832767105,35.9605547421669
2021-02-06,51.081689621655485,30.662572182240474
2021-02-07,46.63874690727088,32.981909802219484
2021-02-08,41.59593277088934,24.846118826999422
2021-02-09,45.49930915682186,28.420538060982487
2021-02-10,47.81254021490368,22.784577301311312
2021-02-11,37.12337544670547,28.144379049353144
2021-02-12,32.20637486704731,26.898181785668108
2021-02-13,32.20799634923017,23.71241852533093
2021-02-14,33.62906049704651,17.491255446376933
2021-02-15,40.35765074002719,32.03808808339763
2021-02-16,40.818830887519354,32.27290859271952
2021-02-17,40.101179300718805,26.911453569923886
2021-02-18,37.91448535266229,20.471098083050816
2021-02-19,43.67941135036388,31.545050633516038
2021-02-20,40.5065699206457,29.25121108812779
2021-02-21,41.46179544344489,25.5741207216734
2021-02-22,49.21433432627462,33.59023455556119
2021-02-23,47.7439554072014,31.978457780538054
2021-02-24,40.55032522224183,26.57194321099761
2021-02-25,37.211436545208564,22.9371765009506
2021-02-26,40.05954377379537,29.25405967456114
2021-02-27,38.83518506927933,26.33232727459285
2021-02-28,40.303680413239334,20.708485336194613
2021-03-01,50.25334741570777,26.845474541556257
2021-03-02,55.088016381009474,31.091745732378598
2021-03-03,58.751580646818425,31.133914234834325
2021-03-04,61.487633646936814,32.9648605902644
2021-03-05,65.33826499464274,39.838792582853095
2021-03-06,57.85525918698502,36.751243730589394
2021-03-07,55.45609584325277,33.70374405220074
2021-03-08,53.154076806010636,34.46122096923544
2021-03-09,49.63965608567123,30.256369370020053
2021-03-10,52.9047535731734,30.893523521215258
2021-03-11,54.902839317945016,28.374747924147663
2021-03-12,53.88527508944342,27.18287457185981
2021-03-13,58.04983564090559,29.083087303894935
2021-03-14,65.33250001859443,34.76536393864035
2021-03-15,60.44581442939518,37.46309843832847
2021-03-16,54.51431469679024,33.325858181962325
2021-03-17,61.08888049761834,33.75083765822726
2021-03-18,67.7237818659908,41.708073007574484
2021-03-19,59.05571007875776,46.83042784736724
2021-03-20,52.09544439511186,39.27037730231094
2021-03-21,50.16011696676565,31.11485195616428
2021-03-22,45.51785260556195,32.71477698154874
2021-03-23,51.90875312387197,30.704451661313893
2021-03-24,47.65280465802585,28.52782794454111
2021-03-25,49.079676934619705,34.43861715324876
2021-03-26,54.159383841409266,32.06863231831457
2021-03-27,60.92251338078428,32.8037708926783
2021-03-28,75.69693828194954,40.23182797220593
2021-03-29,62.19534553967863,31.308207213957214
2021-03-30,47.417652219268206,28.347399051899448
2021-03-31,59.173814824979196,30.027734363276007
2021-04-01,74.25535370401892,36.22905593029041
2021-04-02,73.56280310679554,43.04152583847121
2021-04-03,76.80579194005736,46.389548417848374
2021-04-04,72.31026067981689,48.2097436639458
2021-04-05,55.19584258718717,39.99203381795253
2021-04-06,59.869267154324014,32.99212057982274
2021-04-07,70.32704630613341,37.74740272581305
2021-04-08,55.53548171002901,38.57355355912601
2021-04-09,62.348590550168836,29.860090042308865
2021-04-10,58.956950846907375,36.873359152102324
2021-04-11,50.37842007134574,27.936537279167645
2021-04-12,56.373824691657205,27.71185234663881
2021-04-13,56.643395932087955,35.95210852647462
2021-04-14,56.239172536468786,39.07269365152897
2021-04-15,61.51620962468676,40.84742213522743
2021-04-16,62.89668079819258,41.890904779060335
2021-04-17,66.28871219549686,40.06026557809679
2021-04-18,73.61883960279526,41.059217402810425
2021-04-19,63.55724699011931,43.97733679149401
2021-04-20,60.22848458068951,35.52615281941962
2021-04-21,64.54830870612685,37.00372695775303
2021-04-22,67.92465701511634,37.790095040865
2021-04-23,65.3852866993419,39.75486167023665
2021-04-24,59.938887979893764,47.0599789765543
2021-04-25,55.09430914704563,41.930188785428214
2021-04-26,47.04229407494211,39.68780280473831
2021-04-27,61.31998380868623,37.48348012461923
2021-04-28,70.06292065451332,41.66529326331072
2021-04-29,80.76272695815966,49.51711087673721
